a,b,c,TType
2,1(LBound),2,ISO
1(LBound),2,2,ISO
2,2147483647(UBound),2,NOT
1(LBound),1(LBound),2,NOT
2,2147483646,2,NOT
20,1(LBound),2,NOT
1073741824,1(LBound),2,NOT
2147483646,1(LBound),2,NOT
2147483647(UBound),1(LBound),2,NOT
20,40,2,NOT
2147483647(UBound),2147483646,2,SCA
2,2,2,EQUI
1073741824,2147483646,2147483646,ISO
2,40,2,NOT
1(LBound),2147483646,2,NOT
1073741824,1073741824,2,ISO
20,2,2,NOT
20,2147483646,2,NOT
20,2147483647(UBound),2,NOT
1073741824,2,2,NOT
2147483647(UBound),2147483646,1073741824,SCA
1073741824,2147483647(UBound),2,NOT
20,2147483646,2147483646,ISO
2,1073741824,2,NOT
2147483646,40,2,NOT
2147483647(UBound),2147483647(UBound),2,ISO
20,1073741824,2,NOT
1(LBound),1073741824,2,NOT
2147483646,1073741824,2,NOT
2147483647(UBound),1073741824,2,NOT
2,1(LBound),1(LBound),NOT
1(LBound),2147483647(UBound),2,NOT
2147483647(UBound),2147483646,2147483646,ISO
2147483646,2147483646,2,ISO
2147483646,2,2,NOT
2147483646,2147483647(UBound),2,SCA
1073741824,1073741824,1073741824,EQUI
2147483647(UBound),40,2,NOT
1(LBound),40,2,NOT
1073741824,40,2,NOT
2147483647(UBound),2,2,NOT
1(LBound),1(LBound),1(LBound),EQUI
2,2147483647(UBound),60,NOT
1073741824,2147483646,2,NOT
2147483647(UBound),1073741824,60,NOT
1073741824,1073741824,2147483646,ISO
2,2147483646,1073741824,NOT
1073741824,2147483647(UBound),60,NOT
2,2147483646,60,NOT
2,2147483646,2147483646,ISO
1073741824,2147483646,60,NOT
2,2147483646,2147483647(UBound),SCA
2,2147483647(UBound),1073741824,NOT
2147483646,40,60,NOT
2147483647(UBound),1073741824,2147483646,SCA
2147483647(UBound),2147483646,60,SCA
2,2147483646,1(LBound),NOT
2,1(LBound),60,NOT
2147483647(UBound),40,2147483646,SCA
2,1(LBound),1073741824,NOT
2,1(LBound),2147483646,NOT
2,1(LBound),2147483647(UBound),NOT
2,2147483647(UBound),2147483646,SCA
2147483646,40,1(LBound),NOT
1(LBound),2,1073741824,NOT
2147483647(UBound),2147483646,1(LBound),NOT
2,1073741824,60,NOT
2,2147483647(UBound),2147483647(UBound),ISO
2147483647(UBound),40,1073741824,NOT
2,1073741824,1073741824,ISO
1(LBound),2147483646,60,NOT
2147483647(UBound),2147483647(UBound),1(LBound),ISO
2,2147483647(UBound),1(LBound),NOT
1(LBound),1073741824,60,NOT
1(LBound),2,60,NOT
1(LBound),40,1073741824,NOT
2147483646,40,2147483647(UBound),SCA
2,1073741824,1(LBound),NOT
2147483647(UBound),40,60,NOT
2,1073741824,2147483647(UBound),NOT
20,2147483646,60,NOT
2,1073741824,2147483646,NOT
20,2147483646,1073741824,NOT
1(LBound),1073741824,2147483646,NOT
1(LBound),2,2147483646,NOT
1073741824,1073741824,2147483647(UBound),ISO
2147483646,40,2147483646,ISO
2,40,1073741824,NOT
20,1(LBound),60,NOT
2,40,60,NOT
2,40,2147483647(UBound),NOT
2,40,1(LBound),NOT
2,40,2147483646,NOT
1(LBound),40,60,NOT
1073741824,1(LBound),60,NOT
1(LBound),40,1(LBound),NOT
